college_code,cast,cutoff,year,tier
1013,OC,181.5,2023,2
1013,OC,181.5,2024,2
1013,SC,153.0,2020,2
1013,SC,153.0,2021,2
1013,SC,153.0,2022,2
1013,SC,153.0,2023,2
1013,SC,153.0,2024,2
1013,SCA,149.0,2020,2
1013,SCA,149.0,2021,2
1013,SCA,153.0,2022,2
1013,SCA,149.0,2023,2
1013,SCA,125.5,2024,2
1013,ST,149.5,2020,2
1013,ST,149.5,2021,2
1013,ST,153.0,2022,2
1013,ST,149.5,2023,2
1013,ST,153.0,2024,2
1014,BC,157.5,2020,2
1014,BC,157.5,2021,2
1014,BC,172.5,2022,2
1014,BC,157.5,2023,2
1014,BC,157.5,2024,2
1014,BCM,161.5,2020,2
1014,BCM,161.5,2021,2
1014,BCM,161.5,2022,2
1014,BCM,161.5,2023,2
1014,BCM,161.5,2024,2
1014,MBC,159.0,2020,2
1014,MBC,159.0,2021,2
1014,MBC,161.5,2022,2
1014,MBC,159.0,2023,2
1014,MBC,159.0,2024,2
1014,MBCDNC,159.0,2022,2
1014,OC,172.5,2020,2
1014,OC,172.5,2021,2
1014,OC,172.5,2022,2
1014,OC,172.5,2023,2
1014,OC,174.0,2024,2
1014,SC,146.5,2020,2
1014,SC,146.5,2021,2
1014,SC,146.5,2022,2
1014,SC,146.5,2023,2
1014,SC,146.5,2024,2
1014,SCA,129.5,2020,2
1014,SCA,129.5,2021,2
1014,SCA,146.5,2022,2
1014,SCA,129.5,2023,2
1014,SCA,97.0,2024,2
1014,ST,121.0,2020,2
1014,ST,121.0,2021,2
1014,ST,146.5,2022,2
1014,ST,121.0,2023,2
1014,ST,146.5,2024,2
1026,BC,166.0,2020,2
1026,BC,166.0,2021,2
1026,BC,178.5,2022,2
1026,BC,166.0,2023,2
1026,BC,166.0,2024,2
1026,BCM,167.0,2020,2
1026,BCM,167.0,2021,2
1026,BCM,167.0,2022,2
1026,BCM,167.0,2023,2
1026,BCM,167.0,2024,2
1026,MBC,173.0,2020,2
1026,MBC,173.0,2021,2
1026,MBC,173.0,2022,2
1026,MBC,173.0,2023,2
1026,MBC,173.0,2024,2
1026,MBCDNC,173.0,2022,2
1026,OC,178.5,2020,2
1026,OC,178.5,2021,2
1026,OC,178.5,2022,2
1026,OC,178.5,2023,2
1026,OC,178.5,2024,2
1026,SC,160.5,2020,2
1026,SC,160.5,2021,2
